iter	Passed	Remaining
0	584	2339175
1	1145	2290075
2	1731	2306692
3	2302	2300538
4	2881	2302538
5	3458	2302433
6	4060	2316336
7	4237	2114672
8	4819	2137162
9	5411	2159176
10	5974	2166565
11	6558	2179758
12	7164	2197185
13	7235	2060135
14	7850	2085514
15	8445	2102871
16	9041	2118274
17	9637	2131971
18	10240	2145676
19	10842	2157570
20	11437	2167134
21	12038	2176747
22	12623	2182802
23	12690	2102353
24	13263	2108946
25	13831	2114106
26	14428	2123091
27	15003	2128419
28	15583	2133880
29	16168	2139616
30	16741	2143408
31	17327	2148628
32	17911	2153199
33	18516	2159910
34	19090	2162694
35	19669	2165776
36	20231	2166976
37	20826	2171464
38	21416	2175118
39	22022	2180189
40	22608	2183137
41	23188	2185227
42	23774	2187832
43	24364	2190561
44	24953	2193160
45	25527	2194250
46	26124	2197212
47	26719	2199943
48	27324	2203286
49	27915	2205296
50	28507	2207343
51	29090	2208632
52	29680	2210371
53	30276	2212441
54	30865	2213921
55	31437	2214081
56	32013	2214551
57	32590	2215052
58	33185	2216699
59	33772	2217756
60	34344	2217772
61	34912	2217485
62	35494	2218112
63	36082	2219083
64	36649	2218691
65	37230	2219172
66	37806	2219280
67	38384	2219510
68	38966	2219945
69	39560	2221011
70	40146	2221628
71	40727	2221910
72	41305	2222030
73	41863	2221016
74	42433	2220697
75	43006	2220473
76	43577	2220176
77	44150	2219992
78	44713	2219278
79	45291	2219277
80	45887	2220184
81	46479	2220831
82	47048	2220360
83	47624	2220202
84	48184	2219341
85	48736	2218072
86	49320	2218302
87	49904	2218494
88	50484	2218460
89	51040	2217441
90	51591	2216160
91	52145	2215044
92	52714	2214584
93	53277	2213830
94	53841	2213168
95	54421	2213153
96	54990	2212651
97	55586	2213243
98	56145	2212374
99	56714	2211866
100	57325	2212986
101	57915	2213293
102	58480	2212620
103	58638	2196671
104	59212	2196517
105	59785	2196286
106	60341	2195405
107	60918	2195313
108	61485	2194855
109	62052	2194397
110	62618	2193888
111	63174	2193058
112	63723	2191989
113	64276	2191022
114	64823	2189914
115	65380	2189125
116	65420	2171189
117	65987	2170879
118	66554	2170581
119	67137	2170791
120	67693	2170096
121	68246	2169330
122	68794	2168429
123	69373	2168469
124	69950	2168463
